Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,New_Attr,Class_Fare
0,3,22.0,1,0,7.25,False,True,False,False,True,21.75,
1,1,38.0,1,0,71.2833,True,False,True,False,False,71.2833,
1,3,26.0,0,0,7.925,True,False,False,False,True,23.775,
1,1,35.0,1,0,53.1,True,False,False,False,True,53.1,
0,3,35.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,35.0,0,0,8.4583,False,True,False,True,False,25.374899999999997,
0,1,54.0,0,0,51.8625,False,True,False,False,True,51.8625,
0,3,2.0,3,1,21.075,False,True,False,False,True,63.224999999999994,
1,3,27.0,0,2,11.1333,True,False,False,False,True,33.3999,
1,2,14.0,1,0,30.0708,True,False,True,False,False,60.1416,
1,3,4.0,1,1,16.7,True,False,False,False,True,50.099999999999994,
1,1,58.0,0,0,26.55,True,False,False,False,True,26.55,
0,3,20.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,39.0,1,5,31.275,False,True,False,False,True,93.82499999999999,
0,3,14.0,0,0,7.8542,True,False,False,False,True,23.5626,
1,2,55.0,0,0,16.0,True,False,False,False,True,32.0,
0,3,2.0,4,1,29.125,False,True,False,True,False,87.375,
1,2,2.0,0,0,13.0,False,True,False,False,True,26.0,
0,3,31.0,1,0,18.0,True,False,False,False,True,54.0,
1,3,31.0,0,0,7.225,True,False,True,False,False,21.674999999999997,
0,2,35.0,0,0,26.0,False,True,False,False,True,52.0,
1,2,34.0,0,0,13.0,False,True,False,False,True,26.0,
1,3,15.0,0,0,8.0292,True,False,False,True,False,24.0876,
1,1,28.0,0,0,35.5,False,True,False,False,True,35.5,
0,3,8.0,3,1,21.075,True,False,False,False,True,63.224999999999994,
1,3,38.0,1,5,31.3875,True,False,False,False,True,94.1625,
0,3,38.0,0,0,7.225,False,True,True,False,False,21.674999999999997,
0,1,19.0,3,2,263.0,False,True,False,False,True,263.0,
1,3,19.0,0,0,7.8792,True,False,False,True,False,23.6376,
0,3,19.0,0,0,7.8958,False,True,False,False,True,23.6874,
0,1,40.0,0,0,27.7208,False,True,True,False,False,27.7208,
1,1,40.0,1,0,146.5208,True,False,True,False,False,146.5208,
1,3,40.0,0,0,7.75,True,False,False,True,False,23.25,
0,1,28.0,1,0,82.1708,False,True,True,False,False,82.1708,
0,1,42.0,1,0,52.0,False,True,False,False,True,52.0,
1,3,42.0,0,0,7.2292,False,True,True,False,False,21.6876,
0,3,21.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,18.0,2,0,18.0,True,False,False,False,True,54.0,
1,3,14.0,1,0,11.2417,True,False,True,False,False,33.7251,
0,3,40.0,1,0,9.475,True,False,False,False,True,28.424999999999997,
0,2,27.0,1,0,21.0,True,False,False,False,True,42.0,
0,3,27.0,0,0,7.8958,False,True,True,False,False,23.6874,
1,2,3.0,1,2,41.5792,True,False,True,False,False,83.1584,
1,3,19.0,0,0,7.8792,True,False,False,True,False,23.6376,
0,3,19.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,19.0,1,0,15.5,False,True,False,True,False,46.5,
1,3,19.0,0,0,7.75,True,False,False,True,False,23.25,
0,3,19.0,2,0,21.6792,False,True,True,False,False,65.0376,
0,3,18.0,1,0,17.8,True,False,False,False,True,53.400000000000006,
0,3,7.0,4,1,39.6875,False,True,False,False,True,119.0625,
0,3,21.0,0,0,7.8,False,True,False,False,True,23.4,
1,1,49.0,1,0,76.7292,True,False,True,False,False,76.7292,
1,2,29.0,1,0,26.0,True,False,False,False,True,52.0,
1,2,21.0,0,0,10.5,True,False,False,False,True,21.0,
0,3,28.5,0,0,7.2292,False,True,True,False,False,21.6876,
1,2,5.0,1,2,27.75,True,False,False,False,True,55.5,
0,3,11.0,5,2,46.9,False,True,False,False,True,140.7,
0,3,22.0,0,0,7.2292,False,True,True,False,False,21.6876,
0,1,45.0,1,0,83.475,False,True,False,False,True,83.475,
0,3,4.0,3,2,27.9,False,True,False,False,True,83.69999999999999,
0,1,4.0,0,0,27.7208,False,True,True,False,False,27.7208,
1,3,4.0,1,1,15.2458,False,True,True,False,False,45.737399999999994,
1,2,29.0,0,0,10.5,True,False,False,False,True,21.0,
0,3,19.0,0,0,8.1583,False,True,False,False,True,24.4749,
1,3,17.0,4,2,7.925,True,False,False,False,True,23.775,
0,3,26.0,2,0,8.6625,False,True,False,False,True,25.987499999999997,
0,2,32.0,0,0,10.5,False,True,False,False,True,21.0,
0,3,16.0,5,2,46.9,True,False,False,False,True,140.7,
0,2,21.0,0,0,73.5,False,True,False,False,True,147.0,
0,3,26.0,1,0,14.4542,False,True,True,False,False,43.3626,
1,3,32.0,0,0,56.4958,False,True,False,False,True,169.4874,
0,3,25.0,0,0,7.65,False,True,False,False,True,22.950000000000003,
0,3,25.0,0,0,7.8958,False,True,False,False,True,23.6874,
0,3,25.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
1,2,0.83,0,2,29.0,False,True,False,False,True,58.0,
1,3,30.0,0,0,12.475,True,False,False,False,True,37.425,
0,3,22.0,0,0,9.0,False,True,False,False,True,27.0,
1,3,29.0,0,0,9.5,False,True,False,False,True,28.5,
1,3,29.0,0,0,7.7875,True,False,False,True,False,23.362499999999997,
0,1,28.0,0,0,47.1,False,True,False,False,True,47.1,
1,2,17.0,0,0,10.5,True,False,False,False,True,21.0,
1,3,33.0,3,0,15.85,True,False,False,False,True,47.55,
0,3,16.0,1,3,34.375,False,True,False,False,True,103.125,
0,3,16.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
1,1,23.0,3,2,263.0,True,False,False,False,True,263.0,
0,3,24.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,29.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,20.0,0,0,7.8542,False,True,False,False,True,23.5626,
0,1,46.0,1,0,61.175,False,True,False,False,True,61.175,
0,3,26.0,1,2,20.575,False,True,False,False,True,61.724999999999994,
0,3,59.0,0,0,7.25,False,True,False,False,True,21.75,
0,3,59.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
1,1,23.0,0,1,63.3583,False,True,True,False,False,63.3583,
1,2,34.0,0,1,23.0,True,False,False,False,True,46.0,
0,2,34.0,1,0,26.0,False,True,False,False,True,52.0,
0,3,28.0,0,0,7.8958,True,False,False,False,True,23.6874,
0,3,28.0,0,0,7.8958,False,True,False,False,True,23.6874,
0,1,21.0,0,1,77.2875,False,True,False,False,True,77.2875,
0,3,33.0,0,0,8.6542,False,True,False,False,True,25.9626,
0,3,37.0,2,0,7.925,False,True,False,False,True,23.775,
0,3,28.0,0,0,7.8958,False,True,False,False,True,23.6874,
1,3,21.0,0,0,7.65,True,False,False,False,True,22.950000000000003,
1,3,21.0,0,0,7.775,False,True,False,False,True,23.325000000000003,
0,3,38.0,0,0,7.8958,False,True,False,False,True,23.6874,
1,3,38.0,1,0,24.15,True,False,False,True,False,72.44999999999999,
0,1,47.0,0,0,52.0,False,True,False,False,True,52.0,
0,3,14.5,1,0,14.4542,True,False,True,False,False,43.3626,
0,3,22.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,3,20.0,1,0,9.825,True,False,False,False,True,29.474999999999998,
0,3,17.0,0,0,14.4583,True,False,True,False,False,43.3749,
0,3,21.0,0,0,7.925,False,True,False,False,True,23.775,
0,2,29.0,1,0,21.0,False,True,False,False,True,42.0,
0,1,24.0,0,1,247.5208,False,True,True,False,False,247.5208,
0,3,2.0,4,2,31.275,True,False,False,False,True,93.82499999999999,
0,2,21.0,2,0,73.5,False,True,False,False,True,147.0,
0,3,21.0,0,0,8.05,False,True,False,False,True,24.150000000000002,
0,2,32.5,1,0,30.0708,False,True,True,False,False,60.1416,
1,2,32.5,0,0,13.0,True,False,False,False,True,26.0,
0,1,54.0,0,1,77.2875,False,True,False,False,True,77.2875,
1,3,12.0,1,0,11.2417,False,True,True,False,False,33.7251,
0,3,12.0,0,0,7.75,False,True,False,True,False,23.25,
1,3,24.0,0,0,7.1417,False,True,False,False,True,21.4251,
1,3,24.0,1,1,22.3583,True,False,True,False,False,67.0749,
0,3,45.0,0,0,6.975,False,True,False,False,True,20.924999999999997,
